id,parent,size,DisasterType,State
All Disasters,,270,,Australia
Bushfire,All Disasters,67,Bushfire,Australia
Bushfire | Australian Capital Territory,Bushfire,1,Bushfire,Australian Capital Territory
Bushfire | New South Wales,Bushfire,20,Bushfire,New South Wales
Bushfire | Queensland,Bushfire,6,Bushfire,Queensland
Bushfire | South Australia,Bushfire,8,Bushfire,South Australia
Bushfire | Tasmania,Bushfire,2,Bushfire,Tasmania
Bushfire | Victoria,Bushfire,25,Bushfire,Victoria
Bushfire | Western Australia,Bushfire,5,Bushfire,Western Australia
Cyclone,All Disasters,44,Cyclone,Australia
Cyclone | Northern Territory,Cyclone,4,Cyclone,Northern Territory
Cyclone | Queensland,Cyclone,29,Cyclone,Queensland
Cyclone | Western Australia,Cyclone,11,Cyclone,Western Australia
Earthquake,All Disasters,6,Earthquake,Australia
Earthquake | New South Wales,Earthquake,2,Earthquake,New South Wales
Earthquake | Offshore,Earthquake,2,Earthquake,Offshore
Earthquake | Victoria,Earthquake,1,Earthquake,Victoria
Earthquake | Western Australia,Earthquake,1,Earthquake,Western Australia
Flood,All Disasters,83,Flood,Australia
Flood | Australia,Flood,2,Flood,Australia
Flood | Australian Capital Territory,Flood,1,Flood,Australian Capital Territory
Flood | New South Wales,Flood,27,Flood,New South Wales
Flood | Northern Territory,Flood,3,Flood,Northern Territory
Flood | Offshore,Flood,1,Flood,Offshore
Flood | Queensland,Flood,33,Flood,Queensland
Flood | South Australia,Flood,2,Flood,South Australia
Flood | Tasmania,Flood,3,Flood,Tasmania
Flood | Victoria,Flood,9,Flood,Victoria
Flood | Western Australia,Flood,2,Flood,Western Australia
Storm,All Disasters,70,Storm,Australia
Storm | New South Wales,Storm,41,Storm,New South Wales
Storm | Queensland,Storm,14,Storm,Queensland
Storm | South Australia,Storm,4,Storm,South Australia
Storm | Victoria,Storm,7,Storm,Victoria
Storm | Western Australia,Storm,4,Storm,Western Australia
